metadata_column	enumeration	enumeration_description
applicability	TRUE	The upgrade is applicable to the building
completed_status	Success	Simulation for the model was completed 
in.ahs_region	"CBSA Atlanta-Sandy Springs-Roswell, GA"	"American Housing Survey region Atlanta-Sandy Springs-Roswell, GA"
in.ahs_region	"CBSA Boston-Cambridge-Newton, MA-NH"	"American Housing Survey region Boston-Cambridge-Newton, MA-NH"
in.ahs_region	"CBSA Chicago-Naperville-Elgin, IL-IN-WI"	"American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI"
in.ahs_region	"CBSA Dallas-Fort Worth-Arlington, TX"	"American Housing Survey region Dallas-Fort Worth-Arlington, TX"
in.ahs_region	"CBSA Detroit-Warren-Dearborn, MI"	"American Housing Survey region Detroit-Warren-Dearborn, MI"
in.ahs_region	"CBSA Houston-The Woodlands-Sugar Land, TX"	"American Housing Survey region Houston-The Woodlands-Sugar Land, TX"
in.ahs_region	"CBSA Los Angeles-Long Beach-Anaheim, CA"	"American Housing Survey region Los Angeles-Long Beach-Anaheim, CA"
in.ahs_region	"CBSA Miami-Fort Lauderdale-West Palm Beach, FL"	"American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL"
in.ahs_region	"CBSA New York-Newark-Jersey City, NY-NJ-PA"	"American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA"
in.ahs_region	"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
in.ahs_region	"CBSA Phoenix-Mesa-Scottsdale, AZ"	"American Housing Survey region Phoenix-Mesa-Scottsdale, AZ"
in.ahs_region	"CBSA Riverside-San Bernardino-Ontario, CA"	"American Housing Survey region Riverside-San Bernardino-Ontario, CA"
in.ahs_region	"CBSA San Francisco-Oakland-Hayward, CA"	"American Housing Survey region San Francisco-Oakland-Hayward, CA"
in.ahs_region	"CBSA Seattle-Tacoma-Bellevue, WA"	"American Housing Survey region Seattle-Tacoma-Bellevue, WA"
in.ahs_region	"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV"	"American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV"
in.ahs_region	Non-CBSA East North Central	American Housing Survey region BSA East North Central
in.ahs_region	Non-CBSA East South Central	American Housing Survey region BSA East South Central
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region BSA Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region BSA Mountain
in.ahs_region	Non-CBSA New England	American Housing Survey region BSA New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region BSA Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region BSA South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region BSA West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region BSA West South Central
in.aiannh_area	No	The sample is not located in American Indian/Alaska Native/Native Hawaiian Area
in.aiannh_area	Yes	The sample is located in American Indian/Alaska Native/Native Hawaiian Area
in.air_leakage_to_outside_ach50	0.03094	Total infiltration to the dwelling unit is 0.03094 ACH50
in.air_leakage_to_outside_ach50	0.06188	Total infiltration to the dwelling unit is 0.06188 ACH50
in.air_leakage_to_outside_ach50	0.09282	Total infiltration to the dwelling unit is 0.09282 ACH50
in.air_leakage_to_outside_ach50	0.09512	Total infiltration to the dwelling unit is 0.09512 ACH50
in.air_leakage_to_outside_ach50	0.11826	Total infiltration to the dwelling unit is 0.11826 ACH50
in.air_leakage_to_outside_ach50	0.12252	Total infiltration to the dwelling unit is 0.12252 ACH50
in.air_leakage_to_outside_ach50	0.12376	Total infiltration to the dwelling unit is 0.12376 ACH50
in.air_leakage_to_outside_ach50	0.1299	Total infiltration to the dwelling unit is 0.1299 ACH50
in.air_leakage_to_outside_ach50	0.13125	Total infiltration to the dwelling unit is 0.131249999999999 ACH50
in.air_leakage_to_outside_ach50	0.1547	Total infiltration to the dwelling unit is 0.1547 ACH50
in.air_leakage_to_outside_ach50	0.15501	Total infiltration to the dwelling unit is 0.15501 ACH50
in.air_leakage_to_outside_ach50	0.16336	Total infiltration to the dwelling unit is 0.16336 ACH50
in.air_leakage_to_outside_ach50	0.17324	Total infiltration to the dwelling unit is 0.17324 ACH50
in.air_leakage_to_outside_ach50	0.175	Total infiltration to the dwelling unit is 0.175 ACH50
in.air_leakage_to_outside_ach50	0.17739	Total infiltration to the dwelling unit is 0.17739 ACH50
in.air_leakage_to_outside_ach50	0.18564	Total infiltration to the dwelling unit is 0.18564 ACH50
in.air_leakage_to_outside_ach50	0.19024	Total infiltration to the dwelling unit is 0.19024 ACH50
in.air_leakage_to_outside_ach50	0.19485	Total infiltration to the dwelling unit is 0.194849999999999 ACH50
in.air_leakage_to_outside_ach50	0.2042	Total infiltration to the dwelling unit is 0.2042 ACH50
in.air_leakage_to_outside_ach50	0.20668	Total infiltration to the dwelling unit is 0.20668 ACH50
in.air_leakage_to_outside_ach50	0.21468	Total infiltration to the dwelling unit is 0.214679999999999 ACH50
in.air_leakage_to_outside_ach50	0.21658	Total infiltration to the dwelling unit is 0.21658 ACH50
in.air_leakage_to_outside_ach50	0.21875	Total infiltration to the dwelling unit is 0.21875 ACH50
in.air_leakage_to_outside_ach50	0.23512	Total infiltration to the dwelling unit is 0.23512 ACH50
in.air_leakage_to_outside_ach50	0.23652	Total infiltration to the dwelling unit is 0.23652 ACH50
in.air_leakage_to_outside_ach50	0.2378	Total infiltration to the dwelling unit is 0.237799999999999 ACH50
in.air_leakage_to_outside_ach50	0.24504	Total infiltration to the dwelling unit is 0.24504 ACH50
in.air_leakage_to_outside_ach50	0.24752	Total infiltration to the dwelling unit is 0.24752 ACH50
in.air_leakage_to_outside_ach50	0.25821	Total infiltration to the dwelling unit is 0.25821 ACH50
in.air_leakage_to_outside_ach50	0.25835	Total infiltration to the dwelling unit is 0.25835 ACH50
in.air_leakage_to_outside_ach50	0.2598	Total infiltration to the dwelling unit is 0.2598 ACH50
in.air_leakage_to_outside_ach50	0.25986	Total infiltration to the dwelling unit is 0.25986 ACH50
in.air_leakage_to_outside_ach50	0.2625	Total infiltration to the dwelling unit is 0.262499999999999 ACH50
in.air_leakage_to_outside_ach50	0.28536	Total infiltration to the dwelling unit is 0.28536 ACH50
in.air_leakage_to_outside_ach50	0.28588	Total infiltration to the dwelling unit is 0.28588 ACH50
in.air_leakage_to_outside_ach50	0.28624	Total infiltration to the dwelling unit is 0.28624 ACH50
in.air_leakage_to_outside_ach50	0.29565	Total infiltration to the dwelling unit is 0.29565 ACH50
in.air_leakage_to_outside_ach50	0.30625	Total infiltration to the dwelling unit is 0.306249999999999 ACH50
in.air_leakage_to_outside_ach50	0.3094	Total infiltration to the dwelling unit is 0.3094 ACH50
in.air_leakage_to_outside_ach50	0.31002	Total infiltration to the dwelling unit is 0.31002 ACH50
in.air_leakage_to_outside_ach50	0.32475	Total infiltration to the dwelling unit is 0.32475 ACH50
in.air_leakage_to_outside_ach50	0.32672	Total infiltration to the dwelling unit is 0.32672 ACH50
in.air_leakage_to_outside_ach50	0.3311	Total infiltration to the dwelling unit is 0.3311 ACH50
in.air_leakage_to_outside_ach50	0.33292	Total infiltration to the dwelling unit is 0.33292 ACH50
in.air_leakage_to_outside_ach50	0.34305	Total infiltration to the dwelling unit is 0.343049999999999 ACH50
in.air_leakage_to_outside_ach50	0.34428	Total infiltration to the dwelling unit is 0.34428 ACH50
in.air_leakage_to_outside_ach50	0.34648	Total infiltration to the dwelling unit is 0.34648 ACH50
in.air_leakage_to_outside_ach50	0.35	Total infiltration to the dwelling unit is 0.35 ACH50
in.air_leakage_to_outside_ach50	0.35268	Total infiltration to the dwelling unit is 0.35268 ACH50
in.air_leakage_to_outside_ach50	0.35478	Total infiltration to the dwelling unit is 0.35478 ACH50
in.air_leakage_to_outside_ach50	0.3578	Total infiltration to the dwelling unit is 0.3578 ACH50
in.air_leakage_to_outside_ach50	0.36169	Total infiltration to the dwelling unit is 0.36169 ACH50
in.air_leakage_to_outside_ach50	0.36358	Total infiltration to the dwelling unit is 0.36358 ACH50
in.air_leakage_to_outside_ach50	0.36747	Total infiltration to the dwelling unit is 0.36747 ACH50
in.air_leakage_to_outside_ach50	0.38048	Total infiltration to the dwelling unit is 0.38048 ACH50
in.air_leakage_to_outside_ach50	0.3897	Total infiltration to the dwelling unit is 0.389699999999999 ACH50
in.air_leakage_to_outside_ach50	0.4084	Total infiltration to the dwelling unit is 0.4084 ACH50
in.air_leakage_to_outside_ach50	0.41336	Total infiltration to the dwelling unit is 0.41336 ACH50
in.air_leakage_to_outside_ach50	0.41391	Total infiltration to the dwelling unit is 0.41391 ACH50
in.air_leakage_to_outside_ach50	0.42936	Total infiltration to the dwelling unit is 0.429359999999999 ACH50
in.air_leakage_to_outside_ach50	0.43035	Total infiltration to the dwelling unit is 0.430349999999999 ACH50
in.air_leakage_to_outside_ach50	0.4331	Total infiltration to the dwelling unit is 0.4331 ACH50
in.air_leakage_to_outside_ach50	0.43401	Total infiltration to the dwelling unit is 0.43401 ACH50
in.air_leakage_to_outside_ach50	0.4375	Total infiltration to the dwelling unit is 0.4375 ACH50
in.air_leakage_to_outside_ach50	0.44432	Total infiltration to the dwelling unit is 0.44432 ACH50
in.air_leakage_to_outside_ach50	0.45465	Total infiltration to the dwelling unit is 0.454649999999999 ACH50
in.air_leakage_to_outside_ach50	0.4574	Total infiltration to the dwelling unit is 0.4574 ACH50
in.air_leakage_to_outside_ach50	0.4641	Total infiltration to the dwelling unit is 0.464099999999999 ACH50
in.air_leakage_to_outside_ach50	0.47024	Total infiltration to the dwelling unit is 0.47024 ACH50
in.air_leakage_to_outside_ach50	0.47304	Total infiltration to the dwelling unit is 0.47304 ACH50
in.air_leakage_to_outside_ach50	0.4756	Total infiltration to the dwelling unit is 0.475599999999999 ACH50
in.air_leakage_to_outside_ach50	0.48996	Total infiltration to the dwelling unit is 0.48996 ACH50
in.air_leakage_to_outside_ach50	0.49008	Total infiltration to the dwelling unit is 0.49008 ACH50
in.air_leakage_to_outside_ach50	0.49665	Total infiltration to the dwelling unit is 0.49665 ACH50
in.air_leakage_to_outside_ach50	0.5	Total infiltration to the dwelling unit is 0.5 ACH50
in.air_leakage_to_outside_ach50	0.50092	Total infiltration to the dwelling unit is 0.50092 ACH50
in.air_leakage_to_outside_ach50	0.51642	Total infiltration to the dwelling unit is 0.51642 ACH50
in.air_leakage_to_outside_ach50	0.5167	Total infiltration to the dwelling unit is 0.5167 ACH50
in.air_leakage_to_outside_ach50	0.51675	Total infiltration to the dwelling unit is 0.51675 ACH50
in.air_leakage_to_outside_ach50	0.51956	Total infiltration to the dwelling unit is 0.51956 ACH50
in.air_leakage_to_outside_ach50	0.5196	Total infiltration to the dwelling unit is 0.5196 ACH50
in.air_leakage_to_outside_ach50	0.51972	Total infiltration to the dwelling unit is 0.51972 ACH50
in.air_leakage_to_outside_ach50	0.53268	Total infiltration to the dwelling unit is 0.53268 ACH50
in.air_leakage_to_outside_ach50	0.54084	Total infiltration to the dwelling unit is 0.54084 ACH50
in.air_leakage_to_outside_ach50	0.54219	Total infiltration to the dwelling unit is 0.54219 ACH50
in.air_leakage_to_outside_ach50	0.54537	Total infiltration to the dwelling unit is 0.54537 ACH50
in.air_leakage_to_outside_ach50	0.5458	Total infiltration to the dwelling unit is 0.5458 ACH50
in.air_leakage_to_outside_ach50	0.55913	Total infiltration to the dwelling unit is 0.55913 ACH50
in.air_leakage_to_outside_ach50	0.56495	Total infiltration to the dwelling unit is 0.56495 ACH50
in.air_leakage_to_outside_ach50	0.57175	Total infiltration to the dwelling unit is 0.57175 ACH50
in.air_leakage_to_outside_ach50	0.57248	Total infiltration to the dwelling unit is 0.57248 ACH50
in.air_leakage_to_outside_ach50	0.57868	Total infiltration to the dwelling unit is 0.57868 ACH50
in.air_leakage_to_outside_ach50	0.5878	Total infiltration to the dwelling unit is 0.5878 ACH50
in.air_leakage_to_outside_ach50	0.5913	Total infiltration to the dwelling unit is 0.5913 ACH50
in.air_leakage_to_outside_ach50	0.60117	Total infiltration to the dwelling unit is 0.60117 ACH50
in.air_leakage_to_outside_ach50	0.60249	Total infiltration to the dwelling unit is 0.60249 ACH50
in.air_leakage_to_outside_ach50	0.60634	Total infiltration to the dwelling unit is 0.60634 ACH50
in.air_leakage_to_outside_ach50	0.61245	Total infiltration to the dwelling unit is 0.61245 ACH50
in.air_leakage_to_outside_ach50	0.6126	Total infiltration to the dwelling unit is 0.6126 ACH50
in.air_leakage_to_outside_ach50	0.61435	Total infiltration to the dwelling unit is 0.61435 ACH50
in.air_leakage_to_outside_ach50	0.6188	Total infiltration to the dwelling unit is 0.6188 ACH50
in.air_leakage_to_outside_ach50	0.6201	Total infiltration to the dwelling unit is 0.6201 ACH50
in.air_leakage_to_outside_ach50	0.64945	Total infiltration to the dwelling unit is 0.64945 ACH50
in.air_leakage_to_outside_ach50	0.6495	Total infiltration to the dwelling unit is 0.6495 ACH50
in.air_leakage_to_outside_ach50	0.65625	Total infiltration to the dwelling unit is 0.65625 ACH50
in.air_leakage_to_outside_ach50	0.6622	Total infiltration to the dwelling unit is 0.6622 ACH50
in.air_leakage_to_outside_ach50	0.66555	Total infiltration to the dwelling unit is 0.66555 ACH50
in.air_leakage_to_outside_ach50	0.66584	Total infiltration to the dwelling unit is 0.66584 ACH50
in.air_leakage_to_outside_ach50	0.66585	Total infiltration to the dwelling unit is 0.66585 ACH50
in.air_leakage_to_outside_ach50	0.67404	Total infiltration to the dwelling unit is 0.67404 ACH50
in.air_leakage_to_outside_ach50	0.67738	Total infiltration to the dwelling unit is 0.67738 ACH50
in.air_leakage_to_outside_ach50	0.6861	Total infiltration to the dwelling unit is 0.686099999999999 ACH50
in.air_leakage_to_outside_ach50	0.68856	Total infiltration to the dwelling unit is 0.68856 ACH50
in.air_leakage_to_outside_ach50	0.69296	Total infiltration to the dwelling unit is 0.69296 ACH50
in.air_leakage_to_outside_ach50	0.70536	Total infiltration to the dwelling unit is 0.70536 ACH50
in.air_leakage_to_outside_ach50	0.70956	Total infiltration to the dwelling unit is 0.70956 ACH50
in.air_leakage_to_outside_ach50	0.7134	Total infiltration to the dwelling unit is 0.713399999999999 ACH50
in.air_leakage_to_outside_ach50	0.7156	Total infiltration to the dwelling unit is 0.7156 ACH50
in.air_leakage_to_outside_ach50	0.72292	Total infiltration to the dwelling unit is 0.72292 ACH50
in.air_leakage_to_outside_ach50	0.72335	Total infiltration to the dwelling unit is 0.723349999999999 ACH50
in.air_leakage_to_outside_ach50	0.72345	Total infiltration to the dwelling unit is 0.723449999999999 ACH50
in.air_leakage_to_outside_ach50	0.72716	Total infiltration to the dwelling unit is 0.72716 ACH50
in.air_leakage_to_outside_ach50	0.73494	Total infiltration to the dwelling unit is 0.73494 ACH50
in.air_leakage_to_outside_ach50	0.76534	Total infiltration to the dwelling unit is 0.76534 ACH50
in.air_leakage_to_outside_ach50	0.7663	Total infiltration to the dwelling unit is 0.7663 ACH50
in.air_leakage_to_outside_ach50	0.77232	Total infiltration to the dwelling unit is 0.77232 ACH50
in.air_leakage_to_outside_ach50	0.77505	Total infiltration to the dwelling unit is 0.77505 ACH50
in.air_leakage_to_outside_ach50	0.77934	Total infiltration to the dwelling unit is 0.77934 ACH50
in.air_leakage_to_outside_ach50	0.78536	Total infiltration to the dwelling unit is 0.78536 ACH50
in.air_leakage_to_outside_ach50	0.78716	Total infiltration to the dwelling unit is 0.78716 ACH50
in.air_leakage_to_outside_ach50	0.79134	Total infiltration to the dwelling unit is 0.79134 ACH50
in.air_leakage_to_outside_ach50	0.79902	Total infiltration to the dwelling unit is 0.79902 ACH50
in.air_leakage_to_outside_ach50	0.80045	Total infiltration to the dwelling unit is 0.80045 ACH50
in.air_leakage_to_outside_ach50	0.80156	Total infiltration to the dwelling unit is 0.80156 ACH50
in.air_leakage_to_outside_ach50	0.8168	Total infiltration to the dwelling unit is 0.8168 ACH50
in.air_leakage_to_outside_ach50	0.8268	Total infiltration to the dwelling unit is 0.8268 ACH50
in.air_leakage_to_outside_ach50	0.82775	Total infiltration to the dwelling unit is 0.82775 ACH50
in.air_leakage_to_outside_ach50	0.82782	Total infiltration to the dwelling unit is 0.82782 ACH50
in.air_leakage_to_outside_ach50	0.82878	Total infiltration to the dwelling unit is 0.82878 ACH50
in.air_leakage_to_outside_ach50	0.8312	Total infiltration to the dwelling unit is 0.831199999999999 ACH50
in.air_leakage_to_outside_ach50	0.84252	Total infiltration to the dwelling unit is 0.84252 ACH50
in.air_leakage_to_outside_ach50	0.85743	Total infiltration to the dwelling unit is 0.85743 ACH50
in.air_leakage_to_outside_ach50	0.85872	Total infiltration to the dwelling unit is 0.858719999999999 ACH50
in.air_leakage_to_outside_ach50	0.8607	Total infiltration to the dwelling unit is 0.860699999999999 ACH50
in.air_leakage_to_outside_ach50	0.8662	Total infiltration to the dwelling unit is 0.8662 ACH50
in.air_leakage_to_outside_ach50	0.86802	Total infiltration to the dwelling unit is 0.86802 ACH50
in.air_leakage_to_outside_ach50	0.875	Total infiltration to the dwelling unit is 0.875 ACH50
in.air_leakage_to_outside_ach50	0.8751	Total infiltration to the dwelling unit is 0.8751 ACH50
in.air_leakage_to_outside_ach50	0.88267	Total infiltration to the dwelling unit is 0.88267 ACH50
in.air_leakage_to_outside_ach50	0.88695	Total infiltration to the dwelling unit is 0.88695 ACH50
in.air_leakage_to_outside_ach50	0.88864	Total infiltration to the dwelling unit is 0.88864 ACH50
in.air_leakage_to_outside_ach50	0.89872	Total infiltration to the dwelling unit is 0.89872 ACH50
in.air_leakage_to_outside_ach50	0.90365	Total infiltration to the dwelling unit is 0.90365 ACH50
in.air_leakage_to_outside_ach50	0.90895	Total infiltration to the dwelling unit is 0.90895 ACH50
in.air_leakage_to_outside_ach50	0.90923	Total infiltration to the dwelling unit is 0.90923 ACH50
in.air_leakage_to_outside_ach50	0.9148	Total infiltration to the dwelling unit is 0.9148 ACH50
in.air_leakage_to_outside_ach50	0.93219	Total infiltration to the dwelling unit is 0.93219 ACH50
in.air_leakage_to_outside_ach50	0.94048	Total infiltration to the dwelling unit is 0.94048 ACH50
in.air_leakage_to_outside_ach50	0.94608	Total infiltration to the dwelling unit is 0.94608 ACH50
in.air_leakage_to_outside_ach50	0.9512	Total infiltration to the dwelling unit is 0.951199999999999 ACH50
in.air_leakage_to_outside_ach50	0.96396	Total infiltration to the dwelling unit is 0.96396 ACH50
in.air_leakage_to_outside_ach50	0.97425	Total infiltration to the dwelling unit is 0.97425 ACH50
in.air_leakage_to_outside_ach50	0.97992	Total infiltration to the dwelling unit is 0.97992 ACH50
in.air_leakage_to_outside_ach50	0.9817	Total infiltration to the dwelling unit is 0.981699999999999 ACH50
in.air_leakage_to_outside_ach50	0.98696	Total infiltration to the dwelling unit is 0.98696 ACH50
in.air_leakage_to_outside_ach50	0.9933	Total infiltration to the dwelling unit is 0.9933 ACH50
in.air_leakage_to_outside_ach50	1	Total infiltration to the dwelling unit is 1 ACH50
in.air_leakage_to_outside_ach50	1.00184	Total infiltration to the dwelling unit is 1.00184 ACH50
in.air_leakage_to_outside_ach50	1.00195	Total infiltration to the dwelling unit is 1.00195 ACH50
in.air_leakage_to_outside_ach50	1.01269	Total infiltration to the dwelling unit is 1.01268999999999 ACH50
in.air_leakage_to_outside_ach50	1.021	Total infiltration to the dwelling unit is 1.021 ACH50
in.air_leakage_to_outside_ach50	1.0334	Total infiltration to the dwelling unit is 1.0334 ACH50
in.air_leakage_to_outside_ach50	1.0335	Total infiltration to the dwelling unit is 1.0335 ACH50
in.air_leakage_to_outside_ach50	1.03524	Total infiltration to the dwelling unit is 1.03524 ACH50
in.air_leakage_to_outside_ach50	1.03912	Total infiltration to the dwelling unit is 1.03912 ACH50
in.air_leakage_to_outside_ach50	1.03944	Total infiltration to the dwelling unit is 1.03944 ACH50
in.air_leakage_to_outside_ach50	1.06188	Total infiltration to the dwelling unit is 1.06188 ACH50
in.air_leakage_to_outside_ach50	1.06536	Total infiltration to the dwelling unit is 1.06536 ACH50
in.air_leakage_to_outside_ach50	1.0734	Total infiltration to the dwelling unit is 1.0734 ACH50
in.air_leakage_to_outside_ach50	1.0878	Total infiltration to the dwelling unit is 1.0878 ACH50
in.air_leakage_to_outside_ach50	1.09074	Total infiltration to the dwelling unit is 1.09074 ACH50
in.air_leakage_to_outside_ach50	1.09077	Total infiltration to the dwelling unit is 1.09077 ACH50
in.air_leakage_to_outside_ach50	1.0916	Total infiltration to the dwelling unit is 1.0916 ACH50
in.air_leakage_to_outside_ach50	1.09375	Total infiltration to the dwelling unit is 1.09375 ACH50
in.air_leakage_to_outside_ach50	1.11348	Total infiltration to the dwelling unit is 1.11348 ACH50
in.air_leakage_to_outside_ach50	1.11784	Total infiltration to the dwelling unit is 1.11784 ACH50
in.air_leakage_to_outside_ach50	1.11826	Total infiltration to the dwelling unit is 1.11826 ACH50
in.air_leakage_to_outside_ach50	1.1234	Total infiltration to the dwelling unit is 1.1234 ACH50
in.air_leakage_to_outside_ach50	1.12668	Total infiltration to the dwelling unit is 1.12668 ACH50
in.air_leakage_to_outside_ach50	1.1299	Total infiltration to the dwelling unit is 1.1299 ACH50
in.air_leakage_to_outside_ach50	1.14312	Total infiltration to the dwelling unit is 1.14312 ACH50
in.air_leakage_to_outside_ach50	1.14345	Total infiltration to the dwelling unit is 1.14345 ACH50
in.air_leakage_to_outside_ach50	1.1435	Total infiltration to the dwelling unit is 1.1435 ACH50
in.air_leakage_to_outside_ach50	1.14496	Total infiltration to the dwelling unit is 1.14496 ACH50
in.air_leakage_to_outside_ach50	1.14945	Total infiltration to the dwelling unit is 1.14944999999999 ACH50
in.air_leakage_to_outside_ach50	1.15306	Total infiltration to the dwelling unit is 1.15306 ACH50
in.air_leakage_to_outside_ach50	1.15736	Total infiltration to the dwelling unit is 1.15736 ACH50
in.air_leakage_to_outside_ach50	1.15885	Total infiltration to the dwelling unit is 1.15885 ACH50
in.air_leakage_to_outside_ach50	1.16224	Total infiltration to the dwelling unit is 1.16224 ACH50
in.air_leakage_to_outside_ach50	1.17324	Total infiltration to the dwelling unit is 1.17324 ACH50
in.air_leakage_to_outside_ach50	1.1756	Total infiltration to the dwelling unit is 1.1756 ACH50
in.air_leakage_to_outside_ach50	1.17804	Total infiltration to the dwelling unit is 1.17804 ACH50
in.air_leakage_to_outside_ach50	1.18074	Total infiltration to the dwelling unit is 1.18074 ACH50
in.air_leakage_to_outside_ach50	1.1826	Total infiltration to the dwelling unit is 1.1826 ACH50
in.air_leakage_to_outside_ach50	1.189	Total infiltration to the dwelling unit is 1.189 ACH50
in.air_leakage_to_outside_ach50	1.20234	Total infiltration to the dwelling unit is 1.20234 ACH50
in.air_leakage_to_outside_ach50	1.20237	Total infiltration to the dwelling unit is 1.20237 ACH50
in.air_leakage_to_outside_ach50	1.20495	Total infiltration to the dwelling unit is 1.20495 ACH50
in.air_leakage_to_outside_ach50	1.20498	Total infiltration to the dwelling unit is 1.20498 ACH50
in.air_leakage_to_outside_ach50	1.21098	Total infiltration to the dwelling unit is 1.21098 ACH50
in.air_leakage_to_outside_ach50	1.21268	Total infiltration to the dwelling unit is 1.21268 ACH50
in.air_leakage_to_outside_ach50	1.2134	Total infiltration to the dwelling unit is 1.2134 ACH50
in.air_leakage_to_outside_ach50	1.22103	Total infiltration to the dwelling unit is 1.22102999999999 ACH50
in.air_leakage_to_outside_ach50	1.2231	Total infiltration to the dwelling unit is 1.2231 ACH50
in.air_leakage_to_outside_ach50	1.2249	Total infiltration to the dwelling unit is 1.2249 ACH50
in.air_leakage_to_outside_ach50	1.2252	Total infiltration to the dwelling unit is 1.2252 ACH50
in.air_leakage_to_outside_ach50	1.2287	Total infiltration to the dwelling unit is 1.2287 ACH50
in.air_leakage_to_outside_ach50	1.2337	Total infiltration to the dwelling unit is 1.2337 ACH50
in.air_leakage_to_outside_ach50	1.24317	Total infiltration to the dwelling unit is 1.24316999999999 ACH50
in.air_leakage_to_outside_ach50	1.24498	Total infiltration to the dwelling unit is 1.24498 ACH50
in.air_leakage_to_outside_ach50	1.2593	Total infiltration to the dwelling unit is 1.2593 ACH50
in.air_leakage_to_outside_ach50	1.26378	Total infiltration to the dwelling unit is 1.26378 ACH50
in.air_leakage_to_outside_ach50	1.26511	Total infiltration to the dwelling unit is 1.26511 ACH50
in.air_leakage_to_outside_ach50	1.27253	Total infiltration to the dwelling unit is 1.27253 ACH50
in.air_leakage_to_outside_ach50	1.27947	Total infiltration to the dwelling unit is 1.27946999999999 ACH50
in.air_leakage_to_outside_ach50	1.28934	Total infiltration to the dwelling unit is 1.28934 ACH50
in.air_leakage_to_outside_ach50	1.29105	Total infiltration to the dwelling unit is 1.29104999999999 ACH50
in.air_leakage_to_outside_ach50	1.29175	Total infiltration to the dwelling unit is 1.29175 ACH50
in.air_leakage_to_outside_ach50	1.29642	Total infiltration to the dwelling unit is 1.29642 ACH50
in.air_leakage_to_outside_ach50	1.2989	Total infiltration to the dwelling unit is 1.2989 ACH50
in.air_leakage_to_outside_ach50	1.299	Total infiltration to the dwelling unit is 1.299 ACH50
in.air_leakage_to_outside_ach50	1.2993	Total infiltration to the dwelling unit is 1.2993 ACH50
in.air_leakage_to_outside_ach50	1.31148	Total infiltration to the dwelling unit is 1.31148 ACH50
in.air_leakage_to_outside_ach50	1.3125	Total infiltration to the dwelling unit is 1.3125 ACH50
in.air_leakage_to_outside_ach50	1.3244	Total infiltration to the dwelling unit is 1.3244 ACH50
in.air_leakage_to_outside_ach50	1.32816	Total infiltration to the dwelling unit is 1.32816 ACH50
in.air_leakage_to_outside_ach50	1.32992	Total infiltration to the dwelling unit is 1.32992 ACH50
in.air_leakage_to_outside_ach50	1.3311	Total infiltration to the dwelling unit is 1.3311 ACH50
in.air_leakage_to_outside_ach50	1.3317	Total infiltration to the dwelling unit is 1.3317 ACH50
in.air_leakage_to_outside_ach50	1.33296	Total infiltration to the dwelling unit is 1.33296 ACH50
in.air_leakage_to_outside_ach50	1.3443	Total infiltration to the dwelling unit is 1.3443 ACH50
in.air_leakage_to_outside_ach50	1.3446	Total infiltration to the dwelling unit is 1.3446 ACH50
in.air_leakage_to_outside_ach50	1.34808	Total infiltration to the dwelling unit is 1.34808 ACH50
in.air_leakage_to_outside_ach50	1.35144	Total infiltration to the dwelling unit is 1.35144 ACH50
in.air_leakage_to_outside_ach50	1.35476	Total infiltration to the dwelling unit is 1.35476 ACH50
in.air_leakage_to_outside_ach50	1.35813	Total infiltration to the dwelling unit is 1.35813 ACH50
in.air_leakage_to_outside_ach50	1.35975	Total infiltration to the dwelling unit is 1.35975 ACH50
in.air_leakage_to_outside_ach50	1.36358	Total infiltration to the dwelling unit is 1.36358 ACH50
in.air_leakage_to_outside_ach50	1.37214	Total infiltration to the dwelling unit is 1.37214 ACH50
in.air_leakage_to_outside_ach50	1.37438	Total infiltration to the dwelling unit is 1.37438 ACH50
in.air_leakage_to_outside_ach50	1.37712	Total infiltration to the dwelling unit is 1.37712 ACH50
in.air_leakage_to_outside_ach50	1.38032	Total infiltration to the dwelling unit is 1.38032 ACH50
in.air_leakage_to_outside_ach50	1.38585	Total infiltration to the dwelling unit is 1.38585 ACH50
in.air_leakage_to_outside_ach50	1.38592	Total infiltration to the dwelling unit is 1.38592 ACH50
in.air_leakage_to_outside_ach50	1.39503	Total infiltration to the dwelling unit is 1.39503 ACH50
in.air_leakage_to_outside_ach50	1.40144	Total infiltration to the dwelling unit is 1.40144 ACH50
in.air_leakage_to_outside_ach50	1.40272	Total infiltration to the dwelling unit is 1.40272 ACH50
in.air_leakage_to_outside_ach50	1.40273	Total infiltration to the dwelling unit is 1.40273 ACH50
in.air_leakage_to_outside_ach50	1.41642	Total infiltration to the dwelling unit is 1.41642 ACH50
